t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
06:13:25,20268,10343,13950,3793,13746,233867622,153139719,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:26,20255,10263,14016,3794,13746,233867622,153139853,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:27,20254,10199,14080,3779,13746,233867622,153139977,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:29,20239,10121,14143,3780,13746,233867622,153140103,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:30,20260,10077,14208,3782,13746,233867622,153140419,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:31,20241,9976,14289,3785,13746,233867622,153140657,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:32,20239,9908,14356,3785,13745,233867622,153141042,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:33,20241,9841,14425,3785,13745,233867622,153141101,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:34,20225,9766,14484,3790,13745,233867622,153142540,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:35,20259,9735,14549,3791,13745,233867622,153142702,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:36,20271,9675,14618,3793,13745,233867622,153143082,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:37,20265,9601,14688,3794,13745,233867622,153143219,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:38,20243,9509,14758,3794,13745,233867622,153143414,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:39,20246,9450,14820,3794,13745,233867622,153143531,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:41,20238,9371,14891,3816,13745,233867622,153143672,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:42,20229,9268,14947,3824,13745,233867622,153144792,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:43,20200,9176,15010,3825,13745,233867622,153144891,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:44,20222,9135,15073,3825,13745,233867622,153144948,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:45,20236,9087,15134,3829,13745,233867622,153145239,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:46,20229,9014,15199,3833,13745,233867622,153145385,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:47,20217,8940,15262,3816,13745,233867622,153146539,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:48,20235,8896,15324,3817,13745,233867622,153146731,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:49,20248,8846,15386,3819,13745,233867622,153147061,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:50,20236,8773,15448,3820,13745,233867622,153147234,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:52,20245,8719,15510,3822,13745,233867622,153147331,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:53,20226,8638,15572,3836,13745,233867622,153147403,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:54,20236,8586,15635,3820,13745,233867622,153147410,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:55,20226,8509,15701,3824,13745,233867622,153147687,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:56,20196,8417,15763,3850,13745,233867622,153147932,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:57,20203,8361,15825,3831,13745,233867622,153147979,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:58,20188,8284,15887,3832,13744,233867622,153148119,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:59,20195,8229,15949,3832,13744,233867622,153148167,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:00,20190,8163,16011,3839,13744,233867622,153148686,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:01,20196,8106,16073,3837,13744,233867622,153148856,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:02,20191,8039,16135,3837,13744,233867622,153148940,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:04,20175,7960,16198,3837,13744,233867622,153149005,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:05,20178,7902,16259,3838,13744,233867622,153149194,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:06,20188,7850,16320,3848,13744,233867622,153149602,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:07,20190,7782,16391,3845,13744,233867622,153150095,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:08,20186,7709,16459,3845,13744,233867622,153150267,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:09,20204,7612,16574,3846,13744,233867622,153150706,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:10,20192,7539,16635,3857,13744,233867622,153150885,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:11,20209,7493,16697,3857,13744,233867622,153150957,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:12,20194,7416,16759,3857,13744,233867622,153151079,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:13,20192,7356,16818,3864,13744,233867622,153152593,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:14,20190,7292,16880,3864,13744,233867622,153152630,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:16,20183,7223,16943,3865,13743,233867622,153152906,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:17,20169,7149,17002,3888,13742,233867622,153158489,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:18,20163,7080,17064,3889,13742,233867622,153158501,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:19,20153,7006,17127,3890,13742,233867622,153158534,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:20,20147,6938,17189,3893,13742,233867622,153158706,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:21,20124,6853,17251,3897,13742,233867622,153158928,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:22,20125,6793,17313,3901,13742,233867622,153159052,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:23,20130,6734,17376,3903,13742,233867622,153159066,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:24,20145,6682,17443,3879,13742,233867622,153159202,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:25,20153,6625,17507,3899,13742,233867622,153161666,2249,1029,5481,6,40321,24566,40505,24566,5118
06:14:27,19827,6154,17659,4222,13710,233867622,153170060,2581,1105,5451,6,40323,24566,40505,24566,5118
06:14:28,19680,5986,17680,4362,13573,233867622,153176593,2716,1132,5430,6,40323,24566,40505,24566,5118
06:14:29,19642,5948,17680,4371,13233,233867622,153177010,2724,1133,5429,6,40323,24566,40505,24566,5118
06:14:30,19628,5934,17680,4378,13231,233867622,153177313,2731,1133,5428,6,40323,24566,40505,24566,5118
06:14:31,19582,5704,17865,4435,13229,233867622,153177553,2786,1134,5427,6,40323,24566,40505,24566,5118
06:14:32,19471,5324,18131,4450,13228,233867622,153177813,2799,1141,5427,6,40323,24566,40505,24566,5118
06:14:33,19407,5245,18145,4526,13226,233867622,153178730,2875,1147,5424,6,40323,24566,40505,24566,5118
06:14:34,19348,5153,18211,4544,13223,233867622,153180244,2892,1313,5419,6,40323,24586,40505,24586,5118
06:14:35,19301,5103,18213,4594,13213,233867622,153181440,2933,1352,5416,6,40931,24624,40505,24624,5118
06:14:36,19186,4968,18231,4624,13207,233867622,153183792,2961,1492,5412,6,40951,24682,41133,24682,5118
06:14:38,19152,4919,18244,4666,13205,233867622,153183917,2988,1495,5412,6,40951,24682,41133,24682,5118
06:14:39,19163,4909,18264,4670,13205,233867622,153184097,3011,1496,5411,6,40951,24682,41133,24682,5118
06:14:40,19093,4791,18310,4742,13204,233867622,153184219,3083,1498,5411,6,40951,24682,41133,24682,5118
06:14:41,19092,4775,18325,4779,13204,233867622,153184288,3103,1499,5411,6,40951,24682,41133,24682,5118
06:14:42,19056,4712,18350,4791,13202,233867622,153184365,3128,1499,5411,6,40951,24682,41133,24682,5118
06:14:43,19040,4690,18356,4824,13202,233867622,153184434,3143,1499,5411,6,40951,24682,41133,24682,5118
06:14:44,19025,4636,18393,4855,13202,233867622,153184527,3196,1499,5411,6,40951,24682,41133,24682,5118
06:14:45,19035,4641,18398,4878,13201,233867622,153184688,3218,1500,5411,6,40951,24682,41133,24682,5118
06:14:46,19023,4601,18425,4908,13201,233867622,153184767,3248,1501,5411,6,40951,24682,41133,24682,5118
06:14:48,18956,4510,18449,4943,13201,233867622,153184829,3280,1501,5411,6,40951,24682,41133,24682,5118
06:14:49,18916,4440,18478,5017,13201,233867622,153184935,3334,1501,5411,6,40951,24682,41133,24682,5118
06:14:50,18886,4908,18105,5078,13201,233867622,153185601,3413,1501,5411,6,40951,24762,41133,24682,5118
06:14:51,18771,5489,17514,5091,13201,233867622,153185958,3423,1501,5411,6,40951,24762,41133,24762,5118
06:14:52,18797,5669,17263,5099,13201,233867622,153185992,3431,1501,5410,6,40951,24762,41133,24762,5118
06:14:53,18860,5859,17129,5118,13201,233867622,153186007,3451,1501,5410,6,40951,24762,41133,24762,5118
06:14:54,18845,6101,16871,5133,13201,233867622,153186058,3465,1501,5410,6,40951,24762,41133,24762,5118
06:14:55,18827,6435,16519,5146,13201,233867622,153186576,3467,1501,5410,6,40951,24762,41133,24762,5118
06:14:56,18717,6508,16335,5205,13201,233867622,153190852,3492,1505,5409,6,40951,24762,41133,24762,5118
06:14:57,18288,6159,16252,5507,13201,233867622,153195812,3744,1531,5399,6,40951,24774,41133,24774,5118
06:14:59,18234,6079,16278,5586,13200,233867622,153195912,3832,1538,5399,6,40951,25030,41133,24774,5118
06:15:00,18124,6073,16173,5662,13200,233867622,153196212,3884,1539,5399,6,40951,25030,41133,25030,5118
06:15:01,18006,5927,16199,5713,13200,233867622,153196337,3924,1539,5399,6,40951,25030,41133,25030,5118
06:15:02,17948,5979,16089,5714,13200,233867622,153196492,3942,1539,5399,6,40951,25030,41133,25030,5118
06:15:03,17892,5901,16110,5762,13200,233867622,153196625,3976,1539,5399,6,40951,25030,41133,25030,5118
06:15:04,17936,5941,16114,5752,13200,233867622,153196640,3985,1539,5399,6,40951,25030,41133,25030,5118
06:15:05,17885,5985,16019,5856,13200,233867622,153196834,4032,1539,5399,6,40951,25030,41133,25030,5118
06:15:06,18074,6406,15785,5848,13200,233867622,153196903,4047,1539,5399,6,40951,25030,41133,25030,5118
06:15:07,18081,6532,15666,5865,13198,233867622,153196992,4070,1539,5399,6,40951,25030,41133,25030,5118
06:15:09,17972,6552,15536,5864,13195,233867622,153197103,4093,1539,5398,6,40951,25030,41133,25030,5118
06:15:10,17857,6435,15538,5838,13194,233867622,153197133,4095,1539,5398,6,40951,25030,41133,25030,5118
06:15:11,17784,6359,15541,5871,13192,233867622,153197217,4098,1539,5398,6,40951,25030,41133,25030,5118
06:15:12,17836,6364,15585,5898,13191,233867622,153198677,4133,1539,5398,6,40951,25030,41133,25030,5118
06:15:13,17796,6321,15589,5971,13191,233867622,153198797,4152,1539,5398,6,40951,25030,41133,25030,5118
06:15:14,17340,5848,15605,6481,13191,233867622,153199709,4160,1539,5398,6,40951,25030,41133,25030,5118
06:15:15,17213,5840,15488,6618,13191,233867622,153199906,4160,1539,5398,6,40951,25030,41133,25030,5118
06:15:16,17207,5830,15490,6628,13191,233867622,153200080,4160,1539,5398,6,40951,25030,41133,25030,5118
06:15:17,17200,5822,15490,6632,13191,233867622,153200189,4160,1539,5398,6,40951,25030,41133,25030,5118
06:15:18,17322,6069,15365,6642,13191,233867622,153200330,4167,1540,5398,6,40951,25030,41133,25030,5118
06:15:20,17220,6097,15236,6655,13190,233867622,153200395,4176,1547,5396,6,40951,25030,41133,25030,5118
06:15:21,16873,5730,15257,6874,13185,233867622,153203723,4424,1574,5387,6,40965,25030,41147,25030,5118
06:15:22,16774,5628,15259,6962,13184,233867622,153203827,4502,1581,5386,6,40965,25030,41147,25030,5118
06:15:23,16976,5953,15138,6637,13184,233867622,153203900,4525,1581,5386,6,40965,28704,41147,25030,5118
06:15:24,17140,6241,15017,6303,13184,233867622,153205839,4533,1581,5386,6,40965,28704,41147,28704,5118
06:15:25,17098,6193,15023,6387,13184,233867622,153205890,4553,1581,5386,6,40965,28704,41147,28704,5118
06:15:26,16744,5836,15026,6897,13184,233867622,153205941,4566,1581,5386,6,40965,28704,41147,28704,5118
06:15:27,16644,5730,15032,7030,13184,233867622,153206646,4580,1581,5384,6,40965,28704,41147,28704,5118
06:15:28,16585,5669,15035,7059,13184,233867622,153207065,4600,1581,5383,6,40967,28704,41149,28704,5118
06:15:29,16575,5650,15042,7165,13183,233867622,153211993,4613,1581,5383,6,40967,28704,41149,28704,5118
06:15:31,16500,5570,15047,7145,13183,233867622,153212979,4624,1581,5383,6,40967,28704,41149,28704,5118
06:15:32,16485,5551,15051,7084,13183,233867622,153213053,4626,1581,5383,6,40967,28704,41149,28704,5118
06:15:33,16511,5570,15059,7143,13183,233867622,153213231,4629,1581,5383,6,40967,28704,41149,28704,5118
06:15:34,16546,5602,15061,7118,13183,233867622,153213264,4629,1581,5383,6,40967,28704,41149,28704,5118
06:15:35,16536,5591,15062,7133,13183,233867622,153213321,4672,1581,5383,6,40967,28704,41149,28704,5118
06:15:36,16859,5908,15068,6566,13183,233867622,153213439,4694,1581,5383,6,40967,28706,41149,28706,5118
06:15:37,16487,5534,15070,7147,13183,233867622,153213458,4697,1581,5383,6,40967,28706,41149,28706,5118
06:15:38,16199,5244,15072,7488,13182,233867622,153213523,4708,1581,5383,6,40967,28706,41149,28706,5118
06:15:39,15826,4871,15072,7846,13182,233867622,153213545,4708,1581,5383,6,40967,28706,41149,28706,5118
06:15:41,16341,5385,15073,7215,13182,233867622,153213592,4708,1581,5383,6,41747,28706,41929,28706,5118
06:15:42,16387,5431,15073,7188,13182,233867622,153213646,4712,1581,5383,6,41747,28706,41929,28706,5118
