t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
17:48:21,2205,359,18695,8774,16336,205004033,136065994,6545,1792,5093,6,43469,31340,43469,31340,9660
17:48:22,2220,401,18669,8786,16377,205014377,136075607,6544,1793,5097,6,43469,31340,43469,31340,9660
17:48:24,2172,398,18623,8824,16378,205014685,136085675,6581,1795,5061,6,43469,31340,43469,31340,9660
17:48:25,2097,346,18599,8881,16380,205015111,136103634,6631,1795,5011,6,43469,31340,43469,31340,9660
17:48:26,2110,422,18538,8898,16416,205019361,136120274,6679,1795,4963,6,43469,31340,43469,31340,9660
17:48:27,2054,410,18493,8939,16385,205023253,136135479,6737,1796,4904,6,43469,31340,43469,31340,9660
17:48:28,2010,409,18450,8992,16383,205029756,136151040,6819,1796,4823,6,43469,31340,43469,31340,9660
17:48:29,1963,470,18341,9022,16383,205030463,136157064,6847,1621,4796,6,43469,31340,43469,31340,9660
# startup complete at 17:48:29
17:49:00,2757,591,19016,8339,18084,205594720,136314846,4691,1540,6985,6,44127,31976,44127,31976,9660
17:49:01,2731,521,19061,8346,18077,205594720,136316850,4691,1540,6985,6,44127,31976,44127,31976,9660
17:49:02,2719,481,19087,8352,18075,205594720,136317133,4691,1540,6985,6,44127,31976,44127,31976,9660
17:49:03,2726,485,19090,8334,18074,205594720,136317545,4692,1540,6984,6,44127,31976,44127,31976,9660
17:49:05,2736,493,19093,8336,18071,205594720,136317845,4692,1540,6984,6,44127,31976,44127,31976,9660
17:49:06,2715,458,19106,8346,18068,205594720,136318502,4692,1540,6984,6,44127,31976,44127,31976,9660
17:49:07,2728,460,19118,8341,18067,205594720,136318775,4692,1540,6984,6,44127,31976,44127,31976,9660
17:49:08,2756,474,19131,8311,18056,205594720,136319597,4693,1540,6983,6,44127,31976,44127,31976,9660
17:49:09,2748,466,19131,8313,18054,205594720,136319978,4693,1540,6983,6,44127,31976,44127,31976,9660
17:49:10,2731,438,19143,8332,18054,205594720,136320119,4693,1540,6983,6,44127,31976,44127,31976,9660
17:49:11,2706,409,19147,8337,18052,205594720,136320449,4693,1540,6983,6,44127,31976,44127,31976,9660
17:49:12,2645,340,19154,8389,18050,205594720,136320794,4693,1540,6983,6,44127,31976,44127,31976,9660
17:49:13,2714,404,19159,8368,18065,205599594,136321404,4659,1540,7018,6,44127,31976,44127,31976,9660
17:49:14,2842,532,19159,8252,18159,205622598,136321756,4575,1540,7102,6,44127,31976,44127,31976,9660
17:49:16,2815,504,19160,8257,18155,205622598,136322809,4578,1540,7100,6,44127,31976,44127,31976,9660
17:49:17,2779,466,19162,8267,18146,205622598,136325284,4588,1540,7091,6,44127,31976,44127,31976,9660
17:49:18,2742,414,19178,8259,18131,205622598,136329215,4595,1540,7084,6,44127,31976,44127,31976,9660
17:49:19,2731,401,19182,8261,18130,205622598,136329624,4596,1540,7083,6,44127,31976,44127,31976,9660
17:49:20,2739,409,19182,8263,18128,205622598,136330079,4597,1540,7083,6,44127,31976,44127,31976,9660
17:49:21,2735,396,19188,8267,18125,205622598,136330964,4597,1540,7082,6,44127,31976,44127,31976,9660
17:49:22,2717,378,19188,8274,18122,205622598,136331245,4598,1540,7082,6,44127,31976,44127,31976,9660
17:49:23,2714,374,19189,8279,18120,205622598,136331740,4598,1540,7081,6,44127,31976,44127,31976,9660
17:49:24,2698,358,19189,8295,18119,205622598,136332080,4598,1540,7081,6,44127,31976,44127,31976,9660
17:49:26,2684,343,19189,8302,18116,205622598,136332500,4598,1540,7081,6,44127,31976,44127,31976,9660
17:49:27,2799,460,19187,8272,18141,205629116,136332746,4581,1540,7098,6,44127,31976,44127,31976,9660
17:49:28,2761,422,19187,8287,18137,205629116,136333212,4582,1540,7098,6,44127,31976,44127,31976,9660
17:49:29,2680,341,19188,8348,18133,205629116,136334272,4582,1540,7098,6,44127,31976,44127,31976,9660
17:49:30,2694,365,19176,8356,18126,205631838,136339110,4595,1540,7086,6,44127,31976,44127,31976,9660
17:49:31,2702,518,19035,8365,18124,205632209,136339758,4602,1383,7084,6,44127,31976,44127,31976,9660
17:49:32,2675,486,19040,8371,18122,205632209,136340321,4602,1383,7084,6,44127,31976,44127,31976,9660
17:49:33,2650,462,19037,8372,18121,205632209,136340435,4602,1383,7084,6,44127,31976,44127,31976,9660
17:49:34,2655,454,19050,8373,18120,205632209,136340666,4604,1384,7084,6,44127,31976,44127,31976,9660
17:49:35,2654,447,19055,8375,18118,205632209,136341055,4604,1384,7084,6,44127,31976,44127,31976,9660
17:49:37,2662,448,19062,8379,18117,205632209,136341517,4605,1384,7084,6,44127,31976,44127,31976,9660
17:49:38,2654,433,19069,8384,18114,205632209,136342103,4610,1384,7083,6,44127,31976,44127,31976,9660
17:49:39,2679,453,19074,8375,18113,205632209,136342309,4610,1384,7083,6,44127,31976,44127,31976,9660
17:49:40,2668,428,19091,8384,18112,205632209,136342485,4610,1384,7083,6,44127,31976,44127,31976,9660
17:49:41,2655,405,19098,8392,18112,205632209,136342608,4610,1384,7083,6,44127,31976,44127,31976,9660
17:49:42,2664,397,19115,8400,18109,205632209,136343395,4610,1384,7083,6,44127,31976,44127,31976,9660
17:49:43,2626,460,19014,8409,18099,205632333,136345631,4610,1384,7083,6,44127,31976,44127,31976,9660
17:49:44,2621,454,19014,8412,18098,205632333,136345972,4611,1384,7082,6,44127,31976,44127,31976,9660
17:49:45,2615,448,19014,8415,18097,205632333,136346367,4611,1384,7082,6,44127,31976,44127,31976,9660
17:49:47,2625,457,19016,8415,18096,205632333,136346511,4611,1384,7082,6,44127,31976,44127,31976,9660
17:49:48,2624,456,19016,8419,18095,205632333,136346712,4611,1384,7082,6,44127,31976,44127,31976,9660
17:49:49,2610,418,19041,8448,18091,205632333,136347957,4612,1384,7081,6,44127,31976,44127,31976,9660
17:49:50,2570,377,19041,8469,18074,205632333,136352678,4612,1384,7081,6,44127,31976,44127,31976,9660
17:49:51,2560,365,19042,8477,18069,205632333,136353897,4612,1384,7081,6,44127,31976,44127,31976,9660
17:49:52,2592,437,19003,8475,18078,205635608,136354589,4600,1380,7093,6,44127,31976,44127,31976,9660
17:49:53,2599,443,19006,8443,18077,205635608,136354812,4600,1380,7093,6,44127,31976,44127,31976,9660
17:49:54,2597,428,19021,8443,18077,205635608,136354938,4600,1380,7093,6,44127,31976,44127,31976,9660
17:49:55,2641,425,19067,8451,18105,205646132,136359998,4590,1380,7104,6,44127,31976,44127,31976,9660
17:49:56,2811,595,19066,8262,18308,205694670,136362415,4367,1380,7326,6,44127,31976,44127,31976,9660
17:49:58,2978,769,19059,8108,18445,205730375,136362656,4215,1380,7478,6,44127,31976,44127,31976,9660
17:49:59,2940,728,19062,8116,18435,205730375,136365631,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:00,2897,682,19068,8123,18431,205730375,136366775,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:01,2877,633,19099,8134,18420,205730375,136369126,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:02,2850,545,19154,8170,18381,205730375,136377240,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:03,2808,501,19157,8171,18380,205730375,136377438,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:04,2779,472,19157,8172,18379,205730375,136377538,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:05,2785,467,19169,8190,18374,205730375,136378997,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:06,2810,457,19202,8182,18368,205730375,136380378,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:07,2814,460,19204,8190,18366,205730375,136380583,4215,1380,7478,6,44127,31976,44127,31976,9660
17:50:09,2846,475,19220,8204,18355,205730375,136383306,4215,1380,7478,6,44127,31976,44127,31976,9660
